Date,Expenditure,Max,,,Detail
1/3/18,9.43,5,,,… 
,Item,Price,Type,Place,Payment
,ben's cookie,3.53,Food,Ben's Cookie,https://i.imgur.com/ou6AWUc.png
,bento,5,Food,Eat Tokyo,Https://i.imgur.com/eWOLjCY.png
,coka cola,0.9,Food,vending machine @city uni,Https://i.imgur.com/ou6AWUc.png
2/3/2018,1.95,1.95,,,… 
,Item,Price,Type,Place,Payment
,coca cola & chinese leaf,1.95,Food,Waitrose,Https://i.imgur.com/ou6AWUc.png
3/3/2018,12.14,6.44,,,… 
,hot chocolate & sandwidch,6.44,Food,Pret A Manger,Https://i.imgur.com/ou6AWUc.png
,beer,5.7,Alcohol,Bounce Old Street,Https://i.imgur.com/ou6AWUc.png
4/3/2018,30.2,16.05,,,… 
,coke & banana,0.92,Food,Sainsbury's,Https://i.imgur.com/ou6AWUc.png
,cream scone set,7.5,Food,The original maids of richmond,Https://i.imgur.com/g9spttL.png
,red scarf,5.15,Shopping,Accessorize,Https://i.imgur.com/g9spttL.png
,shower gel & mist,16.05,Supplies,Body Shop,Https://i.imgur.com/g9spttL.png
,pasta,0.6,Food,Tesco,Https://i.imgur.com/g9spttL.png
5/3/2018,17.55,7.8,,,… 
,hot chocolate,2.25,Food,City Uni,Https://i.imgur.com/g9spttL.png
,tomato & mushroom & butter,3.85,Food,Tesco,Https://i.imgur.com/g9spttL.png
,garlic & coka cola x8,3.65,Food,Tesco,Https://i.imgur.com/g9spttL.png
,blue lagoon & gin tonic,7.8,Alcohol,City Bar,Https://i.imgur.com/ou6AWUc.png
6/3/2018,2.45,2.45,,,… 
,croissant & iced chocolte,2.45,Food,Waitrose,Https://i.imgur.com/ou6AWUc.png
7/3/2018,14.7,8,,,… 
,croissant & hot chocolate,4.96,Food,Appestat,Https://i.imgur.com/ou6AWUc.png
,foil paper & chicken breast & toilet paper,8,Supplies,Iceland,Https://i.imgur.com/g9spttL.png
,cheese powder,1.7,Food,Waitrose,Https://i.imgur.com/g9spttL.png
8/3/2018,16,6.2,,,… 
,chocolate bar,1.5,Food,Costa @City Uni,Https://i.imgur.com/g9spttL.png
,sandwich & hot chocolate,6.2,Food,Fix Coffee,Https://i.imgur.com/ou6AWUc.png
,barbican to king's cross,2.5,Transport,Barbican Station,Https://i.imgur.com/ou6AWUc.png
,chicken burger,3.75,Food,Chicken Rooster,Https://i.imgur.com/ou6AWUc.png
,earl's grey,2,Coffee,Fix Coffee,Https://i.imgur.com/ou6AWUc.png
9/3/2018,25.84,15,,,… 
,bonjela,4.19,Supplies,Boots,Https://i.imgur.com/ou6AWUc.png
,nivea lip balm,1.65,Supplies,Boots,Https://i.imgur.com/ou6AWUc.png
,hot chocolate,2.25,Food,City Uni,Https://i.imgur.com/ou6AWUc.png
,dinner with stacey & nicole,15,Social,Polpo,Https://i.imgur.com/ou6AWUc.png
,earl's grey,2.75,Coffee,look mum no hands,Https://i.imgur.com/ou6AWUc.png
10/3/2018,22.22,11.99,,,… 
,bed sheet,11.99,Supplies,Amazon,Https://i.imgur.com/ou6AWUc.png
,kiwi x 4 & strawberries & bananas & grapes & tomatos,10.23,Food,Waitrose,Https://i.imgur.com/ou6AWUc.png
11/3/2018,37.2,11,,,… 
,lemon&ginger,1.8,Coffee,Lily Vanili,Https://i.imgur.com/ou6AWUc.png
,aspirin & ulcer gel,7.98,Medication,Comlumbia Pharmacy,Https://i.imgur.com/ou6AWUc.png
,veggie english breakfast & hot chocolate,11,Food,Long White Cloud,Https://i.imgur.com/ou6AWUc.png
,冬粉 &韓式辣醬,3.05,Food,Longdan London,Https://i.imgur.com/g9spttL.png
,kiwi x 4,1.4,Food,Sainsbury's,Https://i.imgur.com/g9spttL.png
,pillow,3.99,Supplies,Argos,Https://i.imgur.com/g9spttL.png
,curry rice,8,Food,Tokyo Diner,Https://i.imgur.com/g9spttL.png
12/3/2018,63.4,30,,,… 
,bus,3,Transport,Bus,Https://i.imgur.com/ou6AWUc.png
,bus,4.5,Transport,Bus,Https://i.imgur.com/ou6AWUc.png
,dental clinic - deposit,30,Medical,Old Street,Https://i.imgur.com/ou6AWUc.png
,grocery,3,Food,Waitrose,Https://i.imgur.com/g9spttL.png
,grocery,7.4,Food,Waitrose,Https://i.imgur.com/g9spttL.png
,tuna panini,3.5,Food,City Uni,Https://i.imgur.com/g9spttL.png
,giffgaff topup,12,Mobile,Giffgaff app,Https://i.imgur.com/g9spttL.png
13/3/2018,5.75,3.25,,,… 
,veggie risotto,3.25,Food,City Uni,Https://i.imgur.com/g9spttL.png
,kiwi & mushroom,2.5,Food,Waitrose,Https://i.imgur.com/g9spttL.png
14/3/2018,44.48,10.88,,,… 
,dental clinic,25,Medical,Old Street,Https://i.imgur.com/ou6AWUc.png
,drug,8.6,Medical,S. Chauhan Pharmacy,Https://i.imgur.com/ou6AWUc.png
,mouthwash & black chocolate & kitkat & pasta,10.88,Food,Waitrose,Https://i.imgur.com/g9spttL.png
15/3/2018,18.5,10,,,… 
,haircut,10,Supplies,Cutting Bar,Https://i.imgur.com/eWOLjCY.png
